molecule_chembl_id,canonical_smiles,standard_value,0,MW,LogP,NumHDonors,NumHAcceptors,standard_value_norm,pIC50_values
CHEMBL439148,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CC[C@H]2CNCC[C@H]2C(=O)N[C@@H](C)C(=O)N1,10000.0,inactive,496.71800000000025,1.588200000000002,5.0,6.0,10000.0,5.0
CHEMBL211193,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CC[C@@H]2CNCC[C@@H]2C(=O)N[C@@H](C)C(=O)N1,10000.0,inactive,496.71800000000025,1.588200000000002,5.0,6.0,10000.0,5.0
CHEMBL210240,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CS[C@H]2CCCN[C@H]2C(=O)N[C@@H](C)C(=O)N1,10.0,active,514.7580000000003,1.4361000000000017,5.0,7.0,10.0,8.0
CHEMBL211194,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CS[C@@H]2CCCN[C@@H]2C(=O)N[C@@H](C)C(=O)N1,200.0,active,514.7580000000003,1.4361000000000017,5.0,7.0,200.0,6.698970004336019
CHEMBL210176,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CS[C@@H]2CNCC[C@@H]2C(=O)N[C@@H](C)C(=O)N1,10000.0,inactive,514.7580000000003,1.293600000000002,5.0,7.0,10000.0,5.0
CHEMBL377149,CCCCNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1)C(C)C,11.0,active,673.9430000000001,2.3496000000000032,6.0,9.0,11.0,7.958607314841775
CHEMBL208681,CCCCNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C\CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1)C(C)C,50.0,active,673.9430000000001,2.3496000000000032,6.0,9.0,50.0,7.301029995663981
CHEMBL377548,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1COC/C=C/CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,110.0,active,558.7420000000002,1.4922000000000022,5.0,8.0,110.0,6.958607314841775
CHEMBL213595,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1COC/C=C/COC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,910.0,active,542.6740000000003,0.7756000000000038,5.0,8.0,910.0,6.040958607678906
CHEMBL211384,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](C)N(C)C(=O)[C@H](CC(C)C)NC(C)=O,190.0,active,498.7090000000002,2.2184000000000017,4.0,5.0,190.0,6.721246399047171
CHEMBL209795,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(C)=O,260.0,active,484.6820000000002,1.8762000000000028,5.0,5.0,260.0,6.585026652029182
CHEMBL209847,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CSC[C@H](N)C(=O)N[C@@H](C)C(=O)N1,150.0,active,474.69300000000015,0.6428000000000025,5.0,7.0,150.0,6.823908740944319
CHEMBL211848,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C\CSCCC(=O)N[C@@H](C)C(=O)N1,10000.0,inactive,459.67800000000017,1.705600000000001,4.0,6.0,10000.0,5.0
CHEMBL378897,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,190.0,active,574.8100000000002,2.208800000000001,5.0,8.0,190.0,6.721246399047171
CHEMBL211499,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C\CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,460.0,active,574.8100000000002,2.208800000000001,5.0,8.0,460.0,6.337242168318426
CHEMBL212357,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCc2ccc(cc2)CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,195.0,active,624.8700000000002,3.352800000000001,5.0,8.0,195.0,6.709965388637482
CHEMBL211107,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCCSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,25.0,active,604.8800000000003,3.213000000000002,5.0,8.0,25.0,7.6020599913279625
CHEMBL211432,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCCSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,20.0,active,590.8530000000003,2.822900000000001,5.0,8.0,20.0,7.698970004336019
CHEMBL213301,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCCCCSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,180.0,active,576.8260000000002,2.432800000000001,5.0,8.0,180.0,6.7447274948966935
